initially,ad.最初，开始
systematic,a.成体系的；分类的
integrity,n.诚实，正直
kit,n.成套工具；用具包
commend,vt.称赞，表扬；推荐
muse,vi.沉思，默想，冥想
meditate,vt.沉思，冥想，反省
hush,n.沉默int.嘘！
repeal,vt.撤销；放弃
brood,vt.沉思vi.郁闭地沉思
immerse,vt.沉浸；给…施洗礼
lathe,n.车床vt.用车床加工
row,n.吵嚷，吵架，口角
mock,vt.嘲弄，挖苦n.嘲弄
supersonic,a.超声的，超声速的
reign,n.朝代
ultrasonic,a.超声的n.超声波
resident,n.常住者
nickname,n.绰号，浑号
surpass,vt.超过，超越，胜过
waggon,n.敞蓬车厢
spectacle,n.场面；景象，奇观
haunt,vt.常去vi.经常出没
visit,vt.常去
frequent,a.常见的；频繁的
shovel,n.铲，铁铲vt.铲
toad,n.蟾蜍，癞蛤蟆
diesel,n.柴油发动机，内燃机
horizon,n.层位
errand,n.差使，差事
ascertain,vt.查明，确定，弄清
groove,n.槽vt.开槽于
tactics,n.策略；战术，兵法
grassy,a.草多的；草似的
herb,n.草本植物；香草
manipulate,vt.操作；控制，手持
cruelty,n.残酷；残酷行为
warehouse,n.仓库，货栈
hatch,vt.舱盖，舱口；短门
participate,vi.参与vt.分享
participant,n.参加者a.有份的
napkin,n.餐巾(纸)
senator,n.参议员；评议员
reference,n.参考文献；参照系
spectator,n.参观者，观众
parameter,n.参(变)数；参量
recipe,n.菜谱，烹饪法；处方
assumption,n.采取；假定；傲慢
rule,n.裁决，裁定
substance,n.财产；内容，本旨
friction,n.擦热皮肤
sermon,n.布道，讲道，说教
absent,a.不在意的
awkward,a.不雅观的
wretched,a.不幸的；卑鄙的
disagreement,n.不一致；争论
immortal,a.不朽的；永生的
misfortune,n.不幸，灾祸，灾难
incompatible,a.不相容的
stuffy,a.不透气的，闷热的
instability,n.不稳定性；不坚决
incomplete,a.不完全的，未完成的
improper,a.不适当的；不合理的
dissatisfaction,n.不满，不平
irrespective,a.不考虑的，不顾的
opaque,a.不透明的；不传导的
inevitably,ad.不可避免地
watertight,a.不漏水的，防水的
undesirable,a.不合需要的；讨厌的
inaccurate,a.不精密的，不准确的
unreasonable,a.不讲道理的；过度的
absurd,a.不合理的，荒唐的
irregularity,n.不规则；不整齐
unfit,a.不合适的；无能力的
uncertain,a.不定的；无常的
impurity,n.不纯；杂质；不道德
disregard,vt.不管，不顾n.不管
inadequate,a.不充足的，不适当的
invariably,ad.不变地，永恒地
uneasy,a.不安的；拘束的
mammal,n.哺乳动物
supplement,n.补角
complement,vt.补充n.补足(物
compensation,n.补偿，赔偿，赔偿费
barge,n.驳船；大型游船
humanitarian,a.博爱的n.慈善家
icy,a.冰冷的；冷冰冰的
invalid,n.病人a.有病的
objective,n.宾格a.目标的
fluctuation,n.波动；脉动；踌躇
villa,n.别墅；城郊小屋
strength,n.兵力；强度
characterize,vt.表示…的特性
fluctuate,vi.波动vt.使波动
signify,vt.表示，意味着
ward,n.病房，病室；监房
manifest,vt.表明a.明白的
seemingly,ad.表面上，外表上
norm,n.标准，规范；平均数
superficial,a.表面的；肤浅的
heading,n.标题，题词，题名
criterion,n.标准，准则，尺度
discrimination,n.辨别；识别力；歧视
advocate,n.辩护者vt.拥护
transform,vt.变压；变换
alteration,n.变更，改变；蚀变
reason,vt.辩论，讨论
loosen,vi.变松
program,vi.编制程序
fall,vi.变成，成为；陷于
edit,vt.编辑，编纂；校订
rim,n.边；边缘，(眼镜)框
hearth,n.壁炉地面；炉边
verge,n.边缘，边界，界限
fireplace,n.壁炉
patron,n.庇护人；赞助人
diploma,n.毕业文凭，学位证书
indispensable,a.必不可少的，必需的
sullen,a.绷着脸不高兴的
breakdown,n.崩溃，倒塌；失败
essence,n.本质，本体；精华
bandage,n.绷带，包带
captive,a.被俘虏的；被迷住的
reverse,n.背面，反面
deviation,n.背离，偏离；偏差数
arctic,a.北极的n.北极
tragic,a.悲剧性的，悲惨的
grief,n.悲哀，悲痛，悲伤
firework,n.爆竹，花炮，烟火
wrath,n.暴怒，狂怒，愤慨
storm,n.爆发vt.&vi.猛攻
woe,n.悲哀，悲痛，苦恼
vengeance,n.报复，报仇，复仇
tyrant,n.暴君；专制君主
grumble,vi.抱怨，发牢骚
tyranny,n.暴政，专制；残暴
assurance,n.保证；财产转让书
panther,n.豹，黑豹；美洲狮
fuse,n.保险丝，导火线
leopard,n.豹
reservation,n.保留；预定，预订
announce,vt.报告…的来到
safeguard,n.保护措施；护照
fortress,n.堡垒，要塞
preservation,n.保存，储藏；保持
mint,n.薄荷；薄荷糖
saturation,n.饱和(状态)；浸透
mist,n.薄雾vi.下薄雾
chip,n.薄片，碎片
siege,n.包围，围攻，围困
baseball,n.棒球；棒球运动
inclusive,a.包围住的；包括的
scar,n.瘢痕
embrace,vt.包括，包含；包围
radius,n.半径距离；界限
tar,n.柏油，焦油
trigger,n.扳机vt.触发，引起
hemisphere,n.半球；半球地图
blind,n.百叶窗；窗帘；遮帘
liner,n.班船，定期班机
millionaire,n.百分富翁，巨富
shutter,n.百叶窗；(相机)快门
white,a.白种(人)的
lily,n.百合，百合花，睡莲
bank,vi.把钱存入银行
idiot,n.白痴；傻子
blond,n.白肤金发碧眼的人
bestow,vt.把…赠与
subdivide,vt.把…再分
tabulate,vt.把…制成表
dock,vt.把…引入船坞
straighten,vt.把…弄直vi.挺起来
flatten,vt.把…弄平；击倒
ascribe,vt.把…归于
except,vt.把…除外，除去
entitle,vt.把…称作
haughty,a.傲慢的，轻蔑的
ballet,n.芭蕾舞；舞剧
foul,a.肮脏的；丑恶的
assassinate,vt.暗杀，行刺；中伤
burial,n.安葬，埋葬，埋藏
luxurious,a.爱好奢侈的，豪华的
patriot,n.爱国者，爱国主义者
patriotic,a.爱国的
dwarf,n.矮子，侏儒
alas,int.唉，哎呀
stout,a.矮胖的；坚固的
pathetic,a.哀婉动人的；可怜的
Egyptian,a.埃及的n.埃及人
should,v.aux.应该，竟然会
ought,v.aux早应该，本应
referee,n.(足球等)裁判员
scripture,n.《圣经》；圣书
pendulum,n.(钟等的)摆
gross,a.(语言、举止)粗俗的
outbreak,n.(战争、愤怒等)爆发
heave,vt.(用力地)举起；抛
shuttle,n.(织机的)梭
pop,vi.(意外地)出现
market,vt.(在市场上)销售
lining,n.(衣服里的)衬里
mild,a.(烟、酒)味淡的
rigorous,a.(性格等)严峻的
climax,n.(兴趣的)顶点
shrimp,n.(小)虾，河虾，褐虾
panel,n.(选定的)专门小组
peak,n.(物体的)尖端
epoch,n.(新)时代；历元
drain,vi.(水等)流掉
cane,n.(藤等)茎；手杖
switch,n.(树木的)软枝条
immigrate,vt.(使)移居入境
expenditure,n.(时间等)支出，消费
board,vt.(收费)供…膳食
lump,vt.(使)成团vi.结块
disperse,vt.(使)分散；驱散
elapse,vi.(时间)过去，消逝
deviate,vt.(使)背离，偏离
hoarse,a.(声音)嘶哑的
clearing,n.(森林中的)空旷地
pose,vt.(使)摆好姿势
eclipse,n.(日，月)食
quiver,vi.(轻微地)颤动
shade,n.(色彩的)浓淡，深浅
unanimous,a.(全体)一致的
constitution,n.(人的)体格，素质
pier,n.(桥)墩；码头
spill,n.(人)摔下，跌下
span,n.(桥墩间的)墩距
perch,n.(禽鸟的)栖木
flutter,vi.(鸟)振翼；飘动
frock,n.(女)上衣，罩衫
clown,n.(马戏的)小丑，丑角
resume,n.(谋职者的)个人简历
pace,vi.(马)溜蹄走
pope,n.(罗马天主教的)教皇
axle,n.(轮)轴，车轴，心棒
lounge,n.(旅馆等的)休息室
chord,n.(乐器的)弦vi.协调
realization,n.(理想等的)实现
pyjamas,n.(宽大的)睡衣裤
measurement,n.(量得的)尺寸，大小
elegant,a.(举止、服饰)雅致的
refreshment,n.(精力的)恢复，爽快
bishop,n.(基督教的)主教
ticket,n.(交通违章)罚款传票
software,n.(计算机的)软件
hard,a.(酒)烈性的
kernel,n.(果实的)核；谷粒
gesture,vi.(讲话时等)做手势
insert,vi.(肌肉)附着
situation,n.(建筑物等的)位置
wisdom,n.(古人的)名言，格言
growl,vi.(狗等)嗥叫；咆哮
buzz,vi.(蜂等)嗡嗡叫
shaft,n.(工具的)柄，杆状物
breed,n.(动物)品种
ear,n.(稻麦等的)穗
dean,n.(大学)院长，系主任
sink,n.(厨房内的)洗涤槽
fertile,a.(创造力)丰富的
ranch,n.(北美洲的)大牧场
versus,prep.(比赛等中)对
grope,vi.(暗中)摸索，探索
pedlar,n.(挨户兜售的)小贩
squat,vi.&vt.(使)蹲下
scrub,n.&vt.擦洗，擦净
rally,n.&vt.&vi.(重新)集合
tread,vi.&vt.踩，踏，践踏
fling,vi.&vt.(用力)扔，抛
crack,vi.&vt.发出爆裂声
escort,n.&vt.护卫，护送
slander,n.&vt.诽谤，诋毁
swell,vi.&vt.使膨胀，隆起
menace,vt.&vi.&n.(进行)威胁
tramp,vt.&vi.&n.步行，跋涉
suicide,n.&vi.&vt.自杀
tighten,vt.&vi.(使)变紧
jingle,vt.&vi.(使)丁当响
trample,vt.&vi.&n.践踏，蹂躏
thrill,vt.&vi.(使)激动
fret,vt.&vi.(使)烦恼
tilt,vt.&vi.(使)倾斜
revolve,vt.&vi.(使)旋转
deflect,vt.&vi.(使)偏斜
rotate,vt.&vi.(使)旋转
repay,vt.&vi.偿还，报答
compensate,vt.&vi.补偿，赔偿
hoe,vt.&vi.锄地
default,n.&vi.不履行；缺席
scoff,vt.&vi.嘲笑，嘲弄
infer,vt.&vi.猜想，臆测
retort,vt.&vi.反击；反驳
broaden,vt.&vi.放宽，变阔
chorus,vt.&vi.合唱
decompose,vt.&vi.腐败；分解
beware,vt.&vi.谨防，当心
grab,vt.&vi.攫取，抓取
riot,n.&vi.骚乱，暴乱
entreat,vt.&vi.恳求
urge,vt.&vi.强烈希望
supervise,vt.&vi.监督，监视
shrug,vt.&vi.耸(肩)n.耸肩
concentrate,vt.&vi.浓缩，提浓
revive,vt.&vi.苏醒；复兴
terminate,vt.&vi.停止，终止
dazzle,vt.&vi.炫耀；迷惑
transplant,vt.&vi.移植，移种
peck,vt.&vi.啄，啄起
xerox,vt.&vi.用静电复印
trot,vi.&n.(马)小跑，慢跑
solidify,vt.&vi.团结；凝固
ridicule,vi.&n.嘲弄，挖苦
sneer,vi.&n.冷笑；嘲笑
boycott,vt.&n.联合抵制
chatter,vi.&n.喋喋不休
plunder,v.&n.掠夺，劫掠
endeavor,vi.&n.努力，尽力
scramble,vi.&n.爬行，攀登
flap,vt.&n.拍打vi.拍动
credit,vt.&n.相信，信任
tow,vt.&n.拖引，牵引
clockwise,a.&ad.顺时针方向转的
slaughter,vt.&n.屠杀，屠宰
headlong,a.&ad.头向前的(地)
counter,a.&ad.相反的(地)
melancholy,n.&a.忧郁(的)，悲伤
eastward,a.&ad.向东的，向东
bulletin,告示，公告，公报
Moslem,n.&a.穆斯林(的)
